age,workclass,fnlwgt,education,educationNum,maritalStatus,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,country,earnings
39,3,77516,13,13,0,0,1,1,2174,0,40,1,0
50,2,83311,13,13,1,1,1,1,0,0,13,1,0
38,1,215646,10,9,2,0,1,1,0,0,40,1,0
53,1,234721,6,7,1,1,2,1,0,0,40,1,0
28,1,338409,13,13,1,2,2,0,0,0,40,14,0
37,1,284582,14,14,1,2,1,0,0,0,40,1,0
49,1,160187,4,5,3,0,2,0,0,0,16,2,0
52,2,209642,10,9,1,1,1,1,0,0,45,1,1
31,1,45781,14,14,0,0,1,0,14084,0,50,1,1
42,1,159449,13,13,1,1,1,1,5178,0,40,1,1
37,1,280464,11,10,1,1,2,1,0,0,80,1,1
30,3,141297,13,13,1,1,3,1,0,0,40,3,1
23,1,122272,13,13,0,3,1,0,0,0,30,1,0
32,1,205019,8,12,0,0,2,1,0,0,50,1,0
40,1,121772,9,11,1,1,3,1,0,0,40,0,1
34,1,245487,3,4,1,1,4,1,0,0,45,4,0
25,2,176756,10,9,0,3,1,1,0,0,35,1,0
32,1,186824,10,9,0,4,1,1,0,0,40,1,0
38,1,28887,6,7,1,1,1,1,0,0,50,1,0
43,2,292175,14,14,2,4,1,0,0,0,45,1,1
40,1,193524,15,16,1,1,1,1,0,0,60,1,1
54,1,302146,10,9,4,4,2,0,0,0,20,1,0
35,4,76845,4,5,1,1,2,1,0,0,40,1,0
43,1,117037,6,7,1,1,1,1,0,2042,40,1,0
59,1,109015,10,9,2,4,1,0,0,0,40,1,0
56,5,216851,13,13,1,1,1,1,0,0,40,1,1
19,1,168294,10,9,0,3,1,1,0,0,40,1,0
54,0,180211,11,10,1,1,3,1,0,0,60,5,1
39,1,367260,10,9,2,0,1,1,0,0,80,1,0
49,1,193366,10,9,1,1,1,1,0,0,40,1,0
23,5,190709,8,12,0,0,1,1,0,0,52,1,0
20,1,266015,11,10,0,3,2,1,0,0,44,1,0
45,1,386940,13,13,2,3,1,1,0,1408,40,1,0
30,4,59951,11,10,1,3,1,1,0,0,40,1,0
22,3,311512,11,10,1,1,2,1,0,0,15,1,0
48,1,242406,6,7,0,4,1,1,0,0,40,36,0
21,1,197200,11,10,0,3,1,1,0,0,40,1,0
19,1,544091,10,9,5,2,1,0,0,0,25,1,0
31,1,84154,11,10,1,1,1,1,0,0,38,0,1
48,2,265477,8,12,1,1,1,1,0,0,40,1,0
31,1,507875,4,5,1,1,1,1,0,0,43,1,0
53,2,88506,13,13,1,1,1,1,0,0,40,1,0
24,1,172987,13,13,1,1,1,1,0,0,50,1,0
49,1,94638,10,9,4,4,1,0,0,0,40,1,0
25,1,289980,10,9,0,0,1,1,0,0,35,1,0
57,4,337895,13,13,1,1,2,1,0,0,40,1,1
53,1,144361,10,9,1,1,1,1,0,0,38,1,0
44,1,128354,14,14,2,4,1,0,0,0,40,1,0
41,3,101603,9,11,1,1,1,1,0,0,40,1,0
29,1,271466,9,11,0,0,1,1,0,0,43,1,0
25,1,32275,11,10,1,2,0,0,0,0,40,1,0
18,1,226956,10,9,0,3,1,0,0,0,30,0,0
47,1,51835,12,15,1,2,1,0,0,1902,60,10,1
50,4,251585,13,13,2,0,1,1,0,0,55,1,1
47,6,109832,10,9,2,0,1,1,0,0,60,1,0
43,1,237993,11,10,1,1,1,1,0,0,40,1,1
46,1,216666,2,3,1,1,1,1,0,0,40,4,0
35,1,56352,9,11,1,1,1,1,0,0,40,36,0
41,1,147372,10,9,1,1,1,1,0,0,48,1,0
30,1,188146,10,9,1,1,1,1,5013,0,40,1,0
30,1,59496,13,13,1,1,1,1,2407,0,40,1,0
32,0,293936,3,4,3,0,1,1,0,0,40,0,0
48,1,149640,10,9,1,1,1,1,0,0,40,1,0
42,1,116632,15,16,1,1,1,1,0,0,45,1,1
29,1,105598,11,10,2,0,1,1,0,0,58,1,0
36,1,155537,10,9,1,1,1,1,0,0,40,1,0
28,1,183175,11,10,2,0,1,0,0,0,40,1,0
53,1,169846,10,9,1,2,1,0,0,0,40,1,1
49,6,191681,11,10,1,1,1,1,0,0,50,1,1
25,0,200681,11,10,0,3,1,1,0,0,40,1,0
19,1,101509,11,10,0,3,1,1,0,0,32,1,0
31,1,309974,13,13,4,3,2,0,0,0,40,1,0
29,2,162298,13,13,1,1,1,1,0,0,70,1,1
23,1,211678,11,10,0,0,1,1,0,0,40,1,0
79,1,124744,11,10,1,5,1,1,0,0,20,1,0
27,1,213921,10,9,0,3,1,1,0,0,40,4,0
40,1,32214,8,12,1,1,1,1,0,0,40,1,0
67,0,212759,5,6,1,1,1,1,0,0,2,1,0
18,1,309634,6,7,0,3,1,0,0,0,22,1,0
31,5,125927,3,4,1,1,1,1,0,0,40,1,0
18,1,446839,10,9,0,0,1,1,0,0,30,1,0
52,1,276515,13,13,1,1,1,1,0,0,40,14,0
46,1,51618,10,9,1,2,1,0,0,0,40,1,0
59,1,159937,10,9,1,1,1,1,0,0,48,1,0
44,1,343591,10,9,2,0,1,0,14344,0,40,1,1
53,1,346253,10,9,2,3,1,0,0,0,35,1,0
49,5,268234,10,9,1,1,1,1,0,0,40,1,1
33,1,202051,14,14,1,1,1,1,0,0,50,1,0
30,1,54334,4,5,0,0,1,1,0,0,40,1,0
43,4,410867,15,16,0,0,1,0,0,0,50,1,1
57,1,249977,9,11,1,1,1,1,0,0,40,1,0
37,1,286730,11,10,2,4,1,0,0,0,40,1,0
28,1,212563,11,10,2,4,2,0,0,0,25,1,0
30,1,117747,10,9,1,2,3,0,0,1573,35,0,0
34,5,226296,13,13,1,1,1,1,0,0,40,1,1
29,5,115585,11,10,0,0,1,1,0,0,50,1,0
48,2,191277,15,16,1,1,1,1,0,1902,60,1,1
37,1,202683,11,10,1,1,1,1,0,0,48,1,1
48,1,171095,8,12,2,4,1,0,0,0,40,19,0
32,4,249409,10,9,0,3,2,1,0,0,40,1,0
76,1,124191,14,14,1,1,1,1,0,0,40,1,1
44,1,198282,13,13,1,1,1,1,15024,0,60,1,1
47,2,149116,14,14,0,0,1,0,0,0,50,1,0
20,1,188300,11,10,0,3,1,0,0,0,40,1,0
29,1,103432,10,9,0,0,1,1,0,0,40,1,0
32,6,317660,10,9,1,1,1,1,7688,0,40,1,1
17,0,304873,5,6,0,3,1,0,34095,0,32,1,0
30,1,194901,6,7,0,3,1,1,0,0,40,1,0
31,5,189265,10,9,0,0,1,0,0,0,40,1,0
42,1,124692,10,9,1,1,1,1,0,0,40,1,0
24,1,432376,13,13,0,5,1,1,0,0,40,1,0
38,1,65324,12,15,1,1,1,1,0,0,40,1,1
56,2,335605,10,9,1,1,1,1,0,1887,50,15,1
28,1,377869,11,10,1,2,1,0,4064,0,25,1,0
36,1,102864,10,9,0,3,1,0,0,0,40,1,0
53,1,95647,4,5,1,1,1,1,0,0,50,1,0
56,6,303090,11,10,1,1,1,1,0,0,50,1,0
49,5,197371,9,11,1,1,2,1,0,0,40,1,1
55,1,247552,11,10,1,1,1,1,0,0,56,1,0
22,1,102632,10,9,0,0,1,1,0,0,41,1,0
21,1,199915,11,10,0,3,1,0,0,0,40,1,0
40,1,118853,13,13,1,1,1,1,0,0,60,1,0
30,1,77143,13,13,0,3,2,1,0,0,40,21,0
29,3,267989,13,13,1,1,1,1,0,0,50,1,1
19,1,301606,11,10,0,3,2,1,0,0,35,1,0
47,1,287828,13,13,1,2,1,0,0,0,40,1,1
20,1,111697,11,10,0,3,1,0,0,1719,28,1,0
31,1,114937,8,12,1,1,1,1,0,0,40,1,1
35,0,129305,10,9,1,1,1,1,0,0,40,1,0
39,1,365739,11,10,2,0,1,1,0,0,40,1,0
28,1,69621,8,12,0,0,1,0,0,0,60,1,0
24,1,43323,10,9,0,0,1,0,0,1762,40,1,0
38,2,120985,10,9,1,1,1,1,4386,0,35,1,0
37,1,254202,13,13,1,1,1,1,0,0,50,1,0
46,1,146195,8,12,2,0,2,0,0,0,36,1,0
38,4,125933,14,14,1,1,1,1,0,0,40,28,1
43,2,56920,10,9,1,1,1,1,0,0,60,1,0
27,1,163127,9,11,1,2,1,0,0,0,35,1,0
20,1,34310,11,10,0,3,1,1,0,0,20,1,0
49,1,81973,11,10,1,1,3,1,0,0,40,1,1
61,6,66614,10,9,1,1,1,1,0,0,40,1,0
27,1,232782,11,10,0,3,1,0,0,0,40,1,0
19,1,316868,11,10,0,3,1,1,0,0,30,4,0
45,1,196584,9,11,0,0,1,0,0,1564,40,1,1
70,1,105376,11,10,0,5,1,1,0,0,40,1,0
31,1,185814,10,9,0,4,2,0,0,0,30,1,0
22,1,175374,11,10,1,1,1,1,0,0,24,1,0
36,1,108293,10,9,6,4,1,0,0,0,24,1,0
64,1,181232,6,7,1,1,1,1,0,2179,40,1,0
43,0,174662,11,10,2,0,1,0,0,0,40,1,0
47,5,186009,11,10,2,4,1,0,0,0,38,4,0
34,1,198183,10,9,0,0,1,0,0,0,40,1,0
33,1,163003,13,13,0,5,3,0,0,0,40,35,0
21,1,296158,10,9,0,3,1,1,0,0,35,1,0
52,0,252903,10,9,2,0,1,1,0,0,45,1,1
48,1,187715,10,9,1,1,1,1,0,0,46,1,0
23,1,214542,13,13,0,0,1,1,0,0,40,1,0
71,2,494223,11,10,4,4,2,1,0,1816,2,1,0
29,1,191535,10,9,2,0,1,1,0,0,60,1,0
42,1,228456,13,13,4,5,2,1,0,0,50,1,0
68,0,38317,1,2,2,0,1,0,0,0,20,1,0
25,1,252752,10,9,0,4,1,0,0,0,40,1,0
44,6,78374,14,14,2,4,3,0,0,0,40,1,0
28,1,88419,10,9,0,0,3,0,0,0,40,19,0
45,2,201080,14,14,1,1,1,1,0,0,40,1,1
36,1,207157,11,10,2,4,1,0,0,0,40,4,0
39,4,235485,8,12,0,0,1,1,0,0,42,1,0
46,3,102628,14,14,6,4,1,1,0,0,40,1,0
18,1,25828,6,7,0,3,1,1,0,0,16,1,0
66,5,54826,9,11,6,0,1,0,0,0,20,1,0
27,1,124953,10,9,0,0,1,1,0,1980,40,1,0
28,3,175325,10,9,1,1,1,1,0,0,40,1,0
51,1,96062,11,10,1,1,1,1,0,1977,40,1,1
27,1,428030,13,13,0,0,1,1,0,0,50,1,0
28,3,149624,13,13,1,1,1,1,0,0,40,1,1
27,1,253814,10,9,3,4,1,0,0,0,25,1,0
21,1,312956,10,9,0,3,2,1,0,0,40,1,0
34,1,483777,10,9,0,0,2,1,0,0,40,1,0
18,1,183930,10,9,0,3,1,1,0,0,12,1,0
33,1,37274,13,13,1,1,1,1,0,0,65,1,0
44,5,181344,11,10,1,1,2,1,0,0,38,1,1
43,1,114580,11,10,2,0,1,0,0,0,40,1,0
30,1,633742,11,10,0,0,2,1,0,0,45,1,0
40,1,286370,3,4,1,1,1,1,0,0,40,4,1
37,4,29054,11,10,1,1,1,1,0,0,42,1,1
34,1,304030,10,9,1,1,2,1,0,0,40,1,0
41,2,143129,13,13,2,0,1,0,0,0,40,1,0
53,0,135105,13,13,2,0,1,0,0,0,50,1,0
31,1,99928,14,14,1,2,1,0,0,0,50,1,0
58,3,109567,15,16,1,1,1,1,0,0,1,1,1
